id,claimno,claim_type,hic,patient_name,cost
1,1001,IP,123456789A,Fake patient 1,"$1,899.09 "
2,1002,IP,123456789B,Fake patient 2,"$2,614.39 "
3,1003,IP,123456789A,Fake patient 3,"$4,972.15 "
4,1004,IP,123456789B,Fake patient 4,"$8,435.36 "
5,1005,IP,123456789A,Fake patient 5,"$3,572.31 "
6,1006,IP,123456789B,Fake patient 6,"$5,492.51 "
7,1007,IP,123456789A,Fake patient 7,"$8,299.46 "
8,1008,IP,123456789B,Fake patient 8,"$3,941.66 "
9,1009,IP,123456789A,Fake patient 9,"$2,273.41 "
10,1010,IP,123456789B,Fake patient 10,"$9,323.45 "
11,1011,IP,123456789A,Fake patient 11,"$5,335.66 "
12,1012,IP,123456789B,Fake patient 12,"$7,459.12 "
13,1013,IP,123456789A,Fake patient 13,"$4,008.67 "
14,1014,IP,123456789B,Fake patient 14,"$2,776.29 "
15,1015,IP,123456789A,Fake patient 15,"$9,551.61 "
16,1016,IP,123456789B,Fake patient 16,"$8,380.89 "
